city_name,apparent_temperature_max,apparent_temperature_min
Copenhagen,16.0,11.1
Copenhagen,12.5,7.8
Copenhagen,10.1,6.6
Copenhagen,11.0,6.3
Copenhagen,12.0,6.9
Copenhagen,16.6,10.0
Copenhagen,12.5,5.9
Copenhagen,13.7,7.1
Copenhagen,13.1,9.1
Copenhagen,14.6,8.4
Copenhagen,14.8,12.1
Copenhagen,15.4,7.6
Copenhagen,13.1,8.6
Copenhagen,9.6,6.2
Copenhagen,10.9,6.9
Copenhagen,11.8,10.1
Copenhagen,13.6,10.8
Copenhagen,12.2,10.6
Copenhagen,12.8,7.9
Copenhagen,12.6,8.1
Copenhagen,13.6,6.3
Copenhagen,12.3,9.5
Copenhagen,10.5,8.1
Copenhagen,8.9,6.2
Copenhagen,8.4,4.3
Copenhagen,6.9,3.4
Copenhagen,8.2,3.4
Copenhagen,10.1,6.4
Copenhagen,8.3,4.0
Copenhagen,6.0,3.4
Copenhagen,7.6,5.4
Copenhagen,7.8,4.8
Copenhagen,11.0,8.5
Copenhagen,12.0,7.6
Copenhagen,11.1,-0.3
Copenhagen,3.1,0.3
Copenhagen,6.9,2.4
Copenhagen,7.4,3.8
Copenhagen,7.7,4.4
Copenhagen,8.9,6.4
Copenhagen,11.0,7.4
Copenhagen,10.2,7.6
Copenhagen,8.8,6.5
Copenhagen,10.1,6.8
Copenhagen,10.0,7.3
Copenhagen,9.8,6.8
Copenhagen,8.9,3.9
Copenhagen,7.3,2.7
Copenhagen,5.7,1.8
Copenhagen,5.4,1.5
Copenhagen,7.2,4.0
Copenhagen,5.2,3.0
Copenhagen,5.9,1.6
Copenhagen,5.6,2.1
Copenhagen,8.7,5.4
Copenhagen,8.7,4.2
Copenhagen,7.3,3.4
Copenhagen,4.9,3.4
Copenhagen,4.8,2.7
Copenhagen,4.7,3.3
Copenhagen,3.9,2.3
Copenhagen,3.2,1.0
Copenhagen,7.3,0.6
Copenhagen,8.2,2.8
Copenhagen,7.0,2.9
Copenhagen,4.8,-0.9
Copenhagen,2.4,-1.6
Copenhagen,5.2,2.0
Copenhagen,5.3,3.0
Copenhagen,2.7,-0.8
Copenhagen,1.7,-1.1
Copenhagen,-0.4,-1.5
Copenhagen,-0.2,-3.2
Copenhagen,-3.1,-4.8
Copenhagen,0.0,-6.1
Copenhagen,5.2,-5.9
Copenhagen,-1.8,-7.8
Copenhagen,0.3,-4.3
Copenhagen,1.9,-3.0
Copenhagen,-4.1,-8.0
Copenhagen,-4.9,-8.6
Copenhagen,-3.8,-5.4
Copenhagen,-4.2,-5.9
Copenhagen,-1.9,-5.0
Copenhagen,-0.7,-2.7
Copenhagen,-1.7,-4.0
Copenhagen,2.7,-3.7
Copenhagen,3.8,1.3
Copenhagen,3.9,1.0
Copenhagen,4.6,1.2
Copenhagen,3.8,0.4
Copenhagen,2.8,-0.2
Copenhagen,2.6,-0.2
Copenhagen,1.9,-2.9
Copenhagen,-0.3,-4.6
Copenhagen,-1.5,-5.9
Copenhagen,-1.5,-3.0
Copenhagen,-2.4,-4.0
Copenhagen,-3.8,-12.1
Copenhagen,-4.5,-9.3
Copenhagen,-4.3,-7.9
Copenhagen,-4.6,-7.1
Copenhagen,-2.1,-6.3
Copenhagen,0.3,-1.9
Copenhagen,4.1,-1.9
Copenhagen,5.7,2.6
Copenhagen,5.4,1.6
Copenhagen,5.4,2.0
Copenhagen,3.6,-0.5
Copenhagen,1.8,-3.8
Copenhagen,-0.6,-7.5
Copenhagen,-2.7,-7.3
Copenhagen,-1.9,-4.3
Copenhagen,-1.9,-4.5
Copenhagen,-2.7,-4.8
Copenhagen,-1.2,-3.8
Copenhagen,-1.8,-4.6
Copenhagen,1.0,-3.2
Copenhagen,2.3,-0.5
Copenhagen,1.9,-4.0
Copenhagen,-0.7,-4.6
Copenhagen,-0.3,-3.2
Copenhagen,-2.1,-4.2
Copenhagen,1.7,-4.1
Copenhagen,-0.9,-6.2
Copenhagen,-4.8,-8.3
Copenhagen,-0.2,-5.3
Copenhagen,1.6,-6.3
Copenhagen,3.6,-0.6
Copenhagen,1.3,-0.6
Copenhagen,1.9,-0.6
Copenhagen,1.3,-2.2
Copenhagen,0.9,-3.1
Copenhagen,-0.8,-3.0
Copenhagen,2.3,-4.9
Copenhagen,-0.9,-5.5
Copenhagen,-0.9,-5.3
Copenhagen,-0.3,-5.1
Copenhagen,-0.8,-4.8
Copenhagen,2.1,-2.4
Copenhagen,1.6,-3.1
Copenhagen,-1.5,-4.4
Copenhagen,1.1,-3.7
Copenhagen,-1.2,-4.6
Copenhagen,3.1,-2.6
Copenhagen,2.8,-1.7
Copenhagen,1.1,-3.5
Copenhagen,-0.6,-5.9
Copenhagen,-2.1,-5.7
Copenhagen,-1.1,-4.4
Copenhagen,2.7,-1.4
Copenhagen,0.8,-3.8
Copenhagen,2.0,-2.5
Copenhagen,-0.6,-4.1
Copenhagen,1.5,-6.6
Copenhagen,-0.8,-5.3
Copenhagen,1.5,-5.0
Copenhagen,1.3,-5.2
Copenhagen,0.4,-4.9
Copenhagen,2.5,-3.4
Copenhagen,1.0,-4.2
Copenhagen,0.9,-4.3
Copenhagen,2.9,-4.3
Copenhagen,-0.6,-4.0
Copenhagen,-0.8,-2.9
Copenhagen,-0.9,-4.6
Copenhagen,1.8,-5.5
Copenhagen,2.4,-3.9
Copenhagen,0.1,-5.7
Copenhagen,-1.1,-4.8
Copenhagen,1.4,-5.9
Copenhagen,2.8,-6.8
Copenhagen,2.0,-6.1
Copenhagen,0.7,-6.9
Copenhagen,-1.2,-3.6
Copenhagen,-2.9,-5.4
Copenhagen,-0.8,-4.2
Copenhagen,1.1,-3.2
Copenhagen,2.6,-2.5
Copenhagen,6.0,-2.1
Copenhagen,2.1,-2.7
Copenhagen,2.5,-3.6
Copenhagen,6.5,-1.9
Copenhagen,5.1,-1.9
Copenhagen,2.1,-2.5
Copenhagen,2.4,-1.5
Copenhagen,4.0,-2.5
Copenhagen,7.0,-3.2
Copenhagen,9.4,-5.9
Copenhagen,9.7,-1.0
Copenhagen,7.8,0.3
Copenhagen,7.8,-2.6
Copenhagen,5.1,-0.9
Copenhagen,3.5,-4.3
Copenhagen,-1.7,-5.0
Copenhagen,0.1,-5.2
Copenhagen,-0.8,-6.0
Copenhagen,-0.3,-6.6
Copenhagen,2.1,-6.1
Copenhagen,0.8,-5.8
Copenhagen,0.4,-4.6
Copenhagen,3.8,-4.0
Copenhagen,3.0,-2.4
Copenhagen,-1.0,-4.4
Copenhagen,0.2,-4.1
Copenhagen,0.5,-3.9
Copenhagen,3.9,-3.3
Copenhagen,3.3,-3.3
Copenhagen,8.6,-0.5
Copenhagen,10.2,4.5
Copenhagen,4.9,-0.2
Copenhagen,9.3,-3.3
Copenhagen,8.9,-3.4
Copenhagen,7.4,-2.1
Copenhagen,10.4,0.5
Copenhagen,14.0,1.1
Copenhagen,13.6,1.1
Copenhagen,12.0,1.7
Copenhagen,11.2,1.6
Copenhagen,8.9,1.3
Copenhagen,8.3,-0.4
Copenhagen,10.9,-1.1
Copenhagen,8.5,0.7
Copenhagen,10.1,-0.3
Copenhagen,8.5,0.2
Copenhagen,9.9,2.3
Copenhagen,9.9,2.5
Copenhagen,9.6,-0.2
Copenhagen,11.3,3.9
Copenhagen,8.6,4.4
Copenhagen,12.3,2.2
Copenhagen,11.7,3.6
Copenhagen,12.8,4.5
Copenhagen,14.2,2.8
Copenhagen,9.7,5.2
Copenhagen,15.9,6.8
Copenhagen,12.4,7.1
Copenhagen,9.1,5.8
Copenhagen,11.7,4.8
Copenhagen,10.1,5.9
Copenhagen,13.0,5.5
Copenhagen,15.5,5.8
Copenhagen,13.4,4.3
Copenhagen,11.7,3.8
Copenhagen,24.2,11.7
Copenhagen,14.0,10.5
Copenhagen,9.5,7.0
Copenhagen,13.1,6.9
Copenhagen,12.5,6.6
Copenhagen,15.1,7.9
Copenhagen,12.8,7.9
Copenhagen,9.8,6.7
Copenhagen,7.5,3.0
Copenhagen,10.5,3.1
Copenhagen,15.3,8.0
Copenhagen,13.1,6.4
Copenhagen,11.6,8.4
Copenhagen,14.5,6.3
Copenhagen,10.8,5.9
Copenhagen,13.9,7.1
Copenhagen,16.7,6.9
Copenhagen,16.9,6.1
Copenhagen,16.4,10.4
Copenhagen,14.2,9.5
Copenhagen,15.0,8.7
Copenhagen,18.4,11.5
Copenhagen,17.2,10.8
